Your Name,,,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,1675365139,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,2.41342E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.998508201,2.199687795,,Green and blue static
1,2,3,0.944,0.846153846,2.160523423,2.295465679,,Green and blue static
2,4,2,0.824,0.769230769,2.095305434,2.23739741,,black w/ 3 lines
3,12,2,0.816,0.692307692,2.099899844,2.199687795,,black w/ 1 line
4,10,2,0.768,0.615384615,2.112126044,2.133937566,,black w/ 2 lines
5,8,1,0.648,0.538461538,2.048708552,1.987773371,,black w/ static at top
6,1,1,0.624,0.461538462,2.034851483,1.88109476,,black w/ static at top
7,11,1,0.6,0.384615385,1.903873515,1.546593564,,black w/ static at top
8,7,1,0.456,0.307692308,1.66092946,1.352030102,,black w/ static at top
9,5,1,0.312,0.230769231,1.151708295,0.991264261,,black w/ static at top
10,3,1,0.232,0.153846154,0.781481493,0.619382195,,black w/ static at top
11,9,1,0.152,0.076923077,0.614822757,0.391243564,,black w/ static at top
12,6,1,0,0,0,0,,black w/ static at top
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,3.11312E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,1,0.992,0.923076923,1.880635962,1.987773371,,Mostly blue with green triangles at top
1,8,4,0.872,0.846153846,1.837462834,1.833927218,,blue and green triangles stretched
2,7,2,0.728,0.769230769,1.861986155,1.775858948,,blue w/ 4 lines
3,3,3,0.648,0.692307692,1.886059315,1.826245258,,"green, blue, black static"
4,4,4,0.528,0.615384615,1.612856708,1.76049503,,mix of triangles with space inbetween that has lines dripping down
5,10,4,0.48,0.538461538,1.582469844,1.738149333,,mix of triangles with space inbetween that has lines dripping down
6,9,2,0.4,0.461538462,1.491752388,1.669180337,,Mostly lines dripping down from triangles
7,2,1,0.352,0.384615385,1.409967174,1.546593564,,black
8,1,1,0.328,0.307692308,1.286552667,1.352030102,,black
9,5,1,0.184,0.230769231,0.837361124,1.145110414,,black
10,6,1,0.032,0.153846154,0.230285571,0.773228349,,black
11,12,1,0.024,0.076923077,0.163345543,0.391243564,,black
12,11,1,0,0,0,0,,black
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,1.33331E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.439187509,1.669180337,,yellow triangles
1,4,3,0.872,0.846153846,1.810129022,1.833927218,,yellow triangles
2,3,3,0.792,0.769230769,1.906440757,1.922023143,,blue triangles some yellow
3,10,3,0.744,0.692307692,1.928769098,1.950063756,,blue triangles some yellow
4,8,3,0.624,0.615384615,1.63224369,1.826245258,,blue triangles some yellow
